# x_m,y_m,w_tr_right_m,w_tr_left_m
458.59,293.06,5.362,4.8593
457.6,293.13,5.3617,4.8344
456.6,293.21,5.361,4.8088
455.61,293.27,5.3595,4.7838
454.61,293.34,5.3578,4.7614
453.62,293.4,5.3558,4.7445
452.62,293.46,5.3529,4.7319
451.63,293.51,5.3501,4.7251
450.63,293.56,5.3454,4.7235
449.64,293.61,5.3397,4.7241
448.64,293.65,5.3336,4.7256
447.64,293.69,5.3279,4.7258
446.65,293.73,5.323,4.7267
445.65,293.76,5.3181,4.7297
444.65,293.79,5.3139,4.7318
443.65,293.81,5.3102,4.7339
442.66,293.83,5.3063,4.734
441.66,293.85,5.3025,4.7346
440.66,293.86,5.2979,4.7392
439.66,293.87,5.2942,4.7452
438.66,293.88,5.2925,4.7515
437.66,293.88,5.2938,4.756
436.67,293.88,5.298,4.7604
435.67,293.88,5.304,4.7664
434.67,293.87,5.3114,4.7729
433.67,293.86,5.3205,4.7783
432.67,293.84,5.3303,4.7821
431.67,293.83,5.3399,4.7827
430.67,293.81,5.3491,4.7813
429.68,293.78,5.3573,4.7791
428.68,293.75,5.365,4.7757
427.68,293.72,5.3722,4.7719
426.68,293.69,5.3785,4.7679
425.68,293.65,5.3846,4.7619
424.69,293.61,5.3897,4.7539
423.69,293.56,5.3946,4.7434
422.69,293.52,5.3998,4.73
421.69,293.46,5.4044,4.7156
420.7,293.41,5.4079,4.7013
419.7,293.35,5.4115,4.6877
418.71,293.29,5.4133,4.6726
417.71,293.22,5.4148,4.6563
416.71,293.15,5.4175,4.6385
415.72,293.08,5.422,4.6206
414.72,293,5.428,4.6023
413.73,292.92,5.4329,4.5847
412.73,292.83,5.4373,4.568
411.74,292.74,5.4415,4.5555
410.75,292.65,5.4466,4.5481
409.75,292.56,5.4524,4.5425
408.76,292.46,5.4583,4.5396
407.77,292.35,5.461,4.5394
406.77,292.24,5.4628,4.5402
405.78,292.13,5.4636,4.5389
404.79,292.02,5.4649,4.5357
403.8,291.9,5.4682,4.5333
402.81,291.77,5.469,4.529
401.82,291.65,5.4692,4.5263
400.83,291.52,5.4689,4.5241
399.84,291.38,5.4675,4.5231
398.85,291.24,5.4655,4.5261
397.86,291.1,5.4618,4.531
396.87,290.96,5.4583,4.5391
395.89,290.81,5.4547,4.5482
394.9,290.66,5.451,4.5577
393.91,290.5,5.4479,4.569
392.93,290.34,5.4472,4.5811
391.94,290.18,5.4469,4.5927
390.96,290.01,5.4479,4.6035
389.98,289.84,5.4501,4.6129
388.99,289.67,5.4536,4.6183
388.01,289.5,5.4581,4.6206
387.03,289.32,5.4622,4.621
386.05,289.14,5.4661,4.6205
385.06,288.95,5.4702,4.6188
384.08,288.76,5.4752,4.6169
383.1,288.57,5.4813,4.6137
382.12,288.38,5.4867,4.6096
381.14,288.18,5.4928,4.6052
380.16,287.98,5.4991,4.6006
379.18,287.77,5.5052,4.5966
378.21,287.57,5.512,4.5916
377.23,287.36,5.5183,4.5867
376.25,287.15,5.5252,4.5852
375.27,286.93,5.5335,4.5862
374.3,286.71,5.5418,4.5882
373.32,286.49,5.5501,4.5906
372.35,286.26,5.5604,4.5953
371.37,286.04,5.5708,4.5993
370.4,285.8,5.5822,4.6005
369.43,285.57,5.595,4.6024
368.45,285.33,5.6087,4.607
367.48,285.09,5.6237,4.6136
366.51,284.85,5.6389,4.6218
365.54,284.6,5.6546,4.6324
364.58,284.35,5.6718,4.6432
363.61,284.09,5.6949,4.6565
362.64,283.84,5.7216,4.6692
361.68,283.57,5.7531,4.6823
360.72,283.31,5.79,4.6955
359.76,283.03,5.8293,4.7082
358.8,282.76,5.8754,4.7186
357.85,282.48,5.926,4.727
356.89,282.19,5.982,4.731
355.94,281.9,6.042,4.733
354.99,281.6,6.1059,4.7297
354.05,281.3,6.1754,4.7202
353.11,280.99,6.25,4.7069
352.17,280.67,6.3311,4.6856
351.24,280.34,6.4142,4.6552
350.31,280.01,6.503,4.6165
349.38,279.67,6.5965,4.568
348.46,279.32,6.694,4.5081
347.55,278.96,6.796,4.4377
